Training Record ID,Routeway,Days On Programme,Age at Induction,Actual Learner Type,Maths GCSE Grade,English GCSE Grade,Company Size,Industry,Appr Opp Concern,Apprentice Salary,Ethnicity,Gender,LLDD Health Prob
33928,DA,454,26,WFD,N/A,N/A,"1,000+",Business & Industrial,,"35,800",44,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
32777,DM,395,26,WFD,C,A,"1,000+",Finance,,"34,000",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35307,SWD,372,36,WFD,C,C,250-499,Finance,,"32,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35305,SWD,372,27,Progression,C,C,250-499,Finance,,"30,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34951,SWD,372,36,Straight Sign Up,C,C,250-499,Finance,,"30,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
32793,IT,391,35,WFD,N/A,N/A,"1,000+",Health,,"30,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
32813,DA,508,23,WFD,A,A,"1,000+",Business & Industrial,,"28,785",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35505,DM,385,23,WFD,B,A*,50-249,Pets & Animals,,"28,000",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35624,DA,384,23,WFD,N/A,N/A,50-249,Jobs & Education,,"27,000",31,M,1 Learner considers himself or herself to have a learning difficulty and/or disability and/or health problem
35156,DA,373,26,WFD,A,B,"1,000+",Business & Industrial,,"27,000",41,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33989,DM,366,35,WFD,N/A,N/A,Oct-49,Internet & Telecom,DC 08/07/22 concern over support  Mentor works 3 days a week however plans are in place for when they are off GA signed off,"27,000",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34509,DA,404,25,WFD,.,.,50-249,Jobs & Education,,"26,300",41,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34515,DA,386,44,WFD,B,B,01-Sep,Finance,,"25,750",34,F,1 Learner considers himself or herself to have a learning difficulty and/or disability and/or health problem
33741,DA,435,25,Straight Sign Up,B,B,500-999,People & Society,,"25,145",31,M,1 Learner considers himself or herself to have a learning difficulty and/or disability and/or health problem
35543,DA,368,35,WFD,N/A,N/A,"1,000+",Law & Government,,"25,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35541,DA,368,32,WFD,N/A,N/A,"1,000+",Law & Government,,"25,000",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35424,SWD,368,41,WFD,C,D,01-Sep,Internet & Telecom,,"25,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35297,IT,370,34,WFD,C,E,Oct-49,Autos & Vehicles,PS - CV suggests that has more experience for Level 3 However employer's confirmed role has been very basic and he's now moving into Network role. KSB ok for Level 3. AB has email confirmation from emp saying why they think Level 3,"25,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35253,DM,381,24,WFD,B,B,01-Sep,Business & Industrial,,"25,000",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35167,DA,373,30,New Apprentice,B,B,Oct-49,Computers & Electronics,,"25,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34797,SWD,367,30,WFD,A,B,Oct-49,Computers & Electronics,,"25,000",31,M,1 Learner considers himself or herself to have a learning difficulty and/or disability and/or health problem
34689,SWD,388,20,WFD,N/A,N/A,50-249,Computers & Electronics,,"25,000",31,M,1 Learner considers himself or herself to have a learning difficulty and/or disability and/or health problem
34315,IT,368,24,Straight Sign Up,.,.,50-249,Internet & Telecom,,"25,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34232,DA,380,26,WFD,.,.,"1,000+",Business & Industrial,,"25,000",31,M,1 Learner considers himself or herself to have a learning difficulty and/or disability and/or health problem
33924,DA,366,30,Straight Sign Up,B,B,500-999,Law & Government,,"25,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33354,IT,378,22,WFD,C,C,01-Sep,Internet & Telecom,,"25,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33201,DA,380,26,New Apprentice,N/A,N/A,50-249,Business & Industrial,,"25,000",43,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35240,DA,368,31,WFD,A*,B,"1,000+",Business & Industrial,,"24,900",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
32855,IT,483,25,WFD,B,B,"1,000+",Health,,"24,500",40,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34983,IT,369,25,WFD,C,C,"1,000+",Law & Government,,"24,496",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35462,DA,371,20,WFD,6,7,"1,000+",Finance,,"24,000",41,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35241,DA,368,26,WFD,N/A,N/A,250-499,Jobs & Education,,"24,000",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35155,DA,367,28,New Apprentice,A,B,50-249,Computers & Electronics,"Daisy did begin to grade quite high on the skill scan but after discussing these grades were lowered. There may be occasions where previous knowledge is mentioned, however there are clear gaps in the gathering and cleansing steps of the data lifecycle. These fundamentals are critical pieces of information shared within the curriculum of the Level 3 standard.","24,000",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34082,DM,366,32,Straight Sign Up,N/A,A,Oct-49,Business & Industrial,,"24,000",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33824,IT,369,22,WFD,5,7,500-999,Law & Government,,"24,000",35,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
32881,IT,393,44,WFD,N,N/A,"1,000+",Law & Government,,"24,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35396,DA,380,41,WFD,N/A,N/A,Oct-49,Jobs & Education,,"23,703",34,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35537,DM,377,19,WFD,7,9,"1,000+",Computers & Electronics,,"23,500",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35254,DM,381,23,Straight Sign Up,B,B,500-999,People & Society,,"23,500",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35401,DM,376,23,WFD,N/A,N/A,Oct-49,Home & Garden,Role change from SW to DM,"23,100",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35539,DA,368,20,New Apprentice,6,6,Oct-49,Health,,"23,000",35,M,1 Learner considers himself or herself to have a learning difficulty and/or disability and/or health problem
35501,DM,385,23,New Apprentice,A,A*,50-249,Internet & Telecom,,"23,000",31,F,1 Learner considers himself or herself to have a learning difficulty and/or disability and/or health problem
35202,DM,372,26,WFD,N/A,N/A,Oct-49,Business & Industrial,,"23,000",37,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34848,IT,370,21,WFD,5,6,50-249,Jobs & Education,,"23,000",31,F,1 Learner considers himself or herself to have a learning difficulty and/or disability and/or health problem
34607,DA,373,23,New Apprentice,C,B,"1,000+",Food & Drink,,"23,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34506,DA,366,38,New Apprentice,B,B,500-999,Law & Government,,"23,000",46,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33929,DA,372,23,New Apprentice,A*,C,Oct-49,Real Estate,,"23,000",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33819,DM,367,24,New Apprentice,B,B,50-249,Business & Industrial,,"23,000",38,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
