Training Record ID,Induction Date ,Project Title,Project Set Date,Project Completion Date,Project Due Date,Project Submission Date
30780,30/09/2020,Analysis,23/02/2021,,09/03/2021,09/03/2021
30780,30/09/2020,Analysis,11/03/2021,,18/03/2021,18/03/2021
30780,30/09/2020,Analysis,26/03/2021,20/04/2021,06/04/2021,06/04/2021
30780,30/09/2020,Business Operation,15/10/2020,,16/11/2020,13/11/2020
30780,30/09/2020,Business Operation,08/12/2020,,15/12/2020,16/12/2020
30780,30/09/2020,Business Operation,11/01/2021,,18/01/2021,18/01/2021
30780,30/09/2020,Business Operation,29/01/2021,02/03/2021,23/02/2021,23/02/2021
30780,30/09/2020,Data,17/09/2021,,01/10/2021,04/10/2021
30780,30/09/2020,Data,13/10/2021,,20/10/2021,20/10/2021
30780,30/09/2020,Data,25/10/2021,12/11/2021,01/11/2021,01/11/2021
30780,30/09/2020,Deployment,01/11/2021,,25/02/2022,
30780,30/09/2020,Deployment,02/03/2022,,09/03/2022,15/03/2022
30780,30/09/2020,Deployment,16/03/2022,,14/06/2022,17/06/2022
30780,30/09/2020,Deployment,20/06/2022,,22/06/2022,28/06/2022
30780,30/09/2020,Deployment,29/06/2022,,07/07/2022,08/07/2022
30780,30/09/2020,Deployment,08/07/2022,,11/07/2022,18/07/2022
30780,30/09/2020,Deployment,20/07/2022,17/08/2022,11/08/2022,12/08/2022
30780,30/09/2020,Design,13/01/2022,17/02/2022,04/02/2022,03/02/2022
30780,30/09/2020,Development Lifecycle,17/06/2021,,16/07/2021,16/07/2021
30780,30/09/2020,Development Lifecycle,03/08/2021,,10/08/2021,10/08/2021
30780,30/09/2020,Development Lifecycle,18/08/2021,,27/08/2021,27/08/2021
30780,30/09/2020,Development Lifecycle,21/09/2021,13/10/2021,22/09/2021,22/09/2021
30780,30/09/2020,Logic,24/01/2022,,07/02/2022,09/02/2022
30780,30/09/2020,Logic,17/02/2022,,04/03/2022,04/05/2022
30780,30/09/2020,Logic,13/05/2022,,14/06/2022,17/06/2022
30780,30/09/2020,Logic,20/06/2022,,22/06/2022,28/06/2022
30780,30/09/2020,Logic,29/06/2022,,07/07/2022,08/07/2022
30780,30/09/2020,Logic,08/07/2022,,11/07/2022,18/07/2022
30780,30/09/2020,Logic,20/07/2022,17/08/2022,11/08/2022,12/08/2022
30780,30/09/2020,Operational Requirements,15/10/2020,,16/11/2020,13/11/2020
30780,30/09/2020,Operational Requirements,25/11/2020,,04/12/2020,04/12/2020
30780,30/09/2020,Operational Requirements,16/12/2020,,08/01/2021,08/01/2021
30780,30/09/2020,Operational Requirements,11/01/2021,17/02/2021,15/01/2021,18/01/2021
30780,30/09/2020,Problem Solving,17/06/2021,,08/07/2021,08/07/2021
30780,30/09/2020,Problem Solving,30/07/2021,,06/08/2021,06/08/2021
30780,30/09/2020,Problem Solving,10/08/2021,25/08/2021,17/08/2021,17/08/2021
30780,30/09/2020,Service Level Agreements,03/12/2020,,04/01/2021,04/01/2021
30780,30/09/2020,Service Level Agreements,20/01/2021,,29/01/2021,29/01/2021
30780,30/09/2020,Service Level Agreements,10/02/2021,,17/02/2021,19/02/2021
30780,30/09/2020,Service Level Agreements,23/02/2021,,30/03/2021,30/03/2021
30780,30/09/2020,Service Level Agreements,07/04/2021,,12/04/2021,12/04/2021
30780,30/09/2020,Service Level Agreements,21/04/2021,05/05/2021,27/04/2021,27/04/2021
30780,30/09/2020,Testing,29/04/2021,,14/05/2021,14/05/2021
30780,30/09/2020,Testing,18/05/2021,,21/05/2021,21/05/2021
30780,30/09/2020,Testing,26/05/2021,08/06/2021,01/06/2021,01/06/2021
30780,30/09/2020,User Interface,24/01/2022,,07/02/2022,09/02/2022
30780,30/09/2020,User Interface,17/02/2022,,04/03/2022,04/05/2022
30780,30/09/2020,User Interface,13/05/2022,,14/06/2022,17/06/2022
30780,30/09/2020,User Interface,20/06/2022,,22/06/2022,28/06/2022
30780,30/09/2020,User Interface,29/06/2022,,07/07/2022,08/07/2022
30780,30/09/2020,User Interface,08/07/2022,,11/07/2022,18/07/2022
30780,30/09/2020,User Interface,20/07/2022,17/08/2022,11/08/2022,12/08/2022
30839,15/10/2020,Analysis,18/03/2021,28/04/2021,23/04/2021,23/04/2021
30839,15/10/2020,Business Operation,18/03/2021,,19/04/2021,21/04/2021
30839,15/10/2020,Business Operation,22/04/2021,04/05/2021,26/04/2021,23/04/2021
30839,15/10/2020,Data,30/03/2022,,20/05/2022,09/06/2022
30839,15/10/2020,Data,22/06/2022,30/08/2022,10/08/2022,15/08/2022
30839,15/10/2020,Deployment,03/08/2022,,09/09/2022,12/09/2022
30839,15/10/2020,Deployment,13/09/2022,26/09/2022,13/09/2022,13/09/2022
30839,15/10/2020,Design,06/07/2021,,15/07/2021,11/08/2021
30839,15/10/2020,Design,13/08/2021,17/12/2021,16/11/2021,16/12/2021
30839,15/10/2020,Development Lifecycle,03/08/2022,26/09/2022,09/09/2022,12/09/2022
30839,15/10/2020,Logic,10/02/2022,15/04/2022,24/03/2022,25/03/2022
30839,15/10/2020,Operational Requirements,17/12/2020,07/04/2021,19/03/2021,25/03/2021
30839,15/10/2020,Problem Solving,29/04/2021,13/05/2022,15/04/2022,30/03/2022
30839,15/10/2020,Service Level Agreements,02/11/2020,,16/11/2020,16/11/2020
30839,15/10/2020,Service Level Agreements,25/11/2020,,02/12/2020,17/12/2020
30839,15/10/2020,Service Level Agreements,12/01/2021,,26/01/2021,27/01/2021
30839,15/10/2020,Service Level Agreements,27/01/2021,,27/04/2021,26/04/2021
30839,15/10/2020,Service Level Agreements,28/04/2021,04/05/2021,29/04/2021,29/04/2021
30839,15/10/2020,Testing,28/09/2021,,21/04/2022,30/03/2022
30839,15/10/2020,Testing,06/04/2022,,19/05/2022,01/06/2022
30839,15/10/2020,Testing,06/06/2022,28/06/2022,08/06/2022,09/06/2022
30839,15/10/2020,User Interface,30/03/2022,,02/09/2022,01/09/2022
30839,15/10/2020,User Interface,06/09/2022,26/09/2022,07/09/2022,07/09/2022
31292,18/01/2021,Analysing Data Workplace Project 2,08/04/2022,,29/04/2022,20/07/2022
31292,18/01/2021,Analysing Data Workplace Project 2,20/07/2022,26/08/2022,19/08/2022,22/08/2022
31292,18/01/2021,Collecting & Cleansing Data Workplace Project 1,12/03/2021,,19/05/2021,21/05/2021
31292,18/01/2021,Collecting & Cleansing Data Workplace Project 1,04/06/2021,,11/06/2021,08/07/2021
31292,18/01/2021,Collecting & Cleansing Data Workplace Project 1,08/07/2021,31/08/2021,16/07/2021,05/08/2021
31292,18/01/2021,Collecting & Cleansing Data Workplace Project 2,12/10/2021,19/07/2022,15/04/2022,02/06/2022
31292,18/01/2021,Data Architecture & Processes Workplace Project,18/01/2021,,15/02/2021,19/02/2021
31292,18/01/2021,Data Architecture & Processes Workplace Project,24/03/2021,,26/04/2021,29/04/2021
31292,18/01/2021,Data Architecture & Processes Workplace Project,12/05/2021,,19/05/2021,21/05/2021
31292,18/01/2021,Data Architecture & Processes Workplace Project,04/06/2021,22/06/2021,09/06/2021,16/06/2021
31292,18/01/2021,Reporting Data Workplace Project 1,12/07/2021,,03/09/2021,06/09/2021
31292,18/01/2021,Reporting Data Workplace Project 1,27/09/2021,,15/10/2021,25/10/2021
31292,18/01/2021,Reporting Data Workplace Project 1,05/11/2021,08/12/2021,19/11/2021,23/11/2021
31292,18/01/2021,Reporting Data Workplace Project 2,06/12/2021,,28/01/2022,08/02/2022
31292,18/01/2021,Reporting Data Workplace Project 2,28/02/2022,13/06/2022,07/03/2022,05/04/2022
31349,29/01/2021,Analysis,30/05/2022,22/07/2022,08/07/2022,30/06/2022
31349,29/01/2021,Business Operation,10/02/2021,,01/06/2021,08/06/2021
